2025-11-04 20:50:12.570 | INFO     | src.main:lifespan:29 - Starting up AI Resume Parser API...
2025-11-04 20:50:12.570 | INFO     | src.main:lifespan:30 - Environment: development
2025-11-04 20:50:12.570 | INFO     | src.main:lifespan:31 - API Version: 1.0.0
2025-11-04 20:50:12.606 | INFO     | src.main:lifespan:36 - Database tables created/verified successfully
2025-11-04 20:50:16.427 | INFO     | src.main:log_requests:106 - Incoming request: POST /api/v1/resumes/upload
2025-11-04 20:50:16.436 | INFO     | src.api.routes.resumes:upload_resume:86 - Processing resume upload: Resume1.general.pdf (ID: 1ffdb1cc-081e-4029-8f5d-2a384a21bafc)
2025-11-04 20:50:16.436 | INFO     | src.services.parser_service:parse_resume:47 - Starting resume parsing: Resume1.general.pdf
2025-11-04 20:50:16.450 | INFO     | src.services.parser_service:parse_resume:50 - Step 1: Extracting text from document...
2025-11-04 20:50:16.451 | INFO     | src.utils.pdf_extractor:extract_text_from_pdf:37 - Attempting text extraction with pdfplumber...
2025-11-04 20:50:16.775 | INFO     | src.utils.pdf_extractor:extract_text_from_pdf:41 - Successfully extracted 4113 characters with pdfplumber
2025-11-04 20:50:16.775 | INFO     | src.services.parser_service:parse_resume:56 - Extracted 4113 characters of text
2025-11-04 20:50:16.775 | INFO     | src.services.parser_service:parse_resume:59 - Step 2: Parsing with AI (GPT-4)...
2025-11-04 20:50:16.775 | INFO     | src.services.ai_service:parse_resume:44 - Sending resume to GPT-4 for parsing...
2025-11-04 20:50:19.701 | ERROR    | src.services.ai_service:parse_resume:79 - AI parsing error: Error code: 404 - {'error': {'message': 'The model `gpt-4-turbo-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}
2025-11-04 20:50:23.698 | INFO     | src.services.ai_service:parse_resume:44 - Sending resume to GPT-4 for parsing...
2025-11-04 20:50:24.666 | ERROR    | src.services.ai_service:parse_resume:79 - AI parsing error: Error code: 404 - {'error': {'message': 'The model `gpt-4-turbo-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}
2025-11-04 20:50:28.681 | INFO     | src.services.ai_service:parse_resume:44 - Sending resume to GPT-4 for parsing...
2025-11-04 20:50:29.917 | ERROR    | src.services.ai_service:parse_resume:79 - AI parsing error: Error code: 404 - {'error': {'message': 'The model `gpt-4-turbo-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}
2025-11-04 20:50:29.922 | ERROR    | src.services.parser_service:parse_resume:100 - Resume parsing failed: RetryError[<Future at 0x2161aad3d70 state=finished raised NotFoundError>]
2025-11-04 20:50:29.924 | ERROR    | src.api.routes.resumes:upload_resume:114 - Resume parsing failed: RetryError[<Future at 0x2161aad3d70 state=finished raised NotFoundError>]
2025-11-04 20:50:29.928 | INFO     | src.main:log_requests:116 - Request completed: POST /api/v1/resumes/upload Status: 500 Time: 13.501s
2025-11-04 20:50:56.967 | INFO     | src.main:log_requests:106 - Incoming request: POST /api/v1/resumes/upload
2025-11-04 20:50:56.968 | INFO     | src.api.routes.resumes:upload_resume:86 - Processing resume upload: Resume1.general.docx (ID: d0409bfa-34c7-4d1b-9640-b46966bd1f72)
2025-11-04 20:50:56.988 | INFO     | src.services.parser_service:parse_resume:47 - Starting resume parsing: Resume1.general.docx
2025-11-04 20:50:56.989 | INFO     | src.services.parser_service:parse_resume:50 - Step 1: Extracting text from document...
2025-11-04 20:50:57.162 | INFO     | src.services.parser_service:parse_resume:56 - Extracted 6600 characters of text
2025-11-04 20:50:57.162 | INFO     | src.services.parser_service:parse_resume:59 - Step 2: Parsing with AI (GPT-4)...
2025-11-04 20:50:57.162 | INFO     | src.services.ai_service:parse_resume:44 - Sending resume to GPT-4 for parsing...
2025-11-04 20:50:57.634 | ERROR    | src.services.ai_service:parse_resume:79 - AI parsing error: Error code: 404 - {'error': {'message': 'The model `gpt-4-turbo-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}
2025-11-04 20:51:01.645 | INFO     | src.services.ai_service:parse_resume:44 - Sending resume to GPT-4 for parsing...
2025-11-04 20:51:01.962 | ERROR    | src.services.ai_service:parse_resume:79 - AI parsing error: Error code: 404 - {'error': {'message': 'The model `gpt-4-turbo-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}
2025-11-04 20:51:05.976 | INFO     | src.services.ai_service:parse_resume:44 - Sending resume to GPT-4 for parsing...
2025-11-04 20:51:06.767 | ERROR    | src.services.ai_service:parse_resume:79 - AI parsing error: Error code: 404 - {'error': {'message': 'The model `gpt-4-turbo-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}
2025-11-04 20:51:06.774 | ERROR    | src.services.parser_service:parse_resume:100 - Resume parsing failed: RetryError[<Future at 0x2161aaef4d0 state=finished raised NotFoundError>]
2025-11-04 20:51:06.774 | ERROR    | src.api.routes.resumes:upload_resume:114 - Resume parsing failed: RetryError[<Future at 0x2161aaef4d0 state=finished raised NotFoundError>]
2025-11-04 20:51:06.779 | INFO     | src.main:log_requests:116 - Request completed: POST /api/v1/resumes/upload Status: 500 Time: 9.813s
2025-11-04 20:57:49.599 | INFO     | src.main:lifespan:43 - Shutting down AI Resume Parser API...
